#      wavelength (Angstrom)  Normalized Flux (Dimensionless)
       4423.3658      1.20072
       4423.3954      1.22387
       4423.4249      1.30835
       4423.4544      1.41008
       4423.4839      1.48395
       4423.5134      1.42469
       4423.5429      1.24277
       4423.5724      1.18007
       4423.6019      1.19432
       4423.6314      1.20879
       4423.6609      1.22431
       4423.6905      1.19032
       4423.7200      1.10433
       4423.7495      1.05325
       4423.7790      1.04578
       4423.8085      1.05346
       4423.8380      1.12607
       4423.8675      1.20182
       4423.8970      1.16314
       4423.9266      1.10874
       4423.9561     0.998066
       4423.9856      1.00617
       4424.0151      1.05629
       4424.0446      1.13654
       4424.0741     0.975861
       4424.1036     0.918281
       4424.1332     0.985311
       4424.1627     0.940409
       4424.1922     0.867788
       4424.2217     0.914663
       4424.2512      1.24502
       4424.2807      1.63811
       4424.3102      1.50197
       4424.3398      1.73886
       4424.3693      2.13963
       4424.3988      1.96264
       4424.4283      1.78201
       4424.4578      1.88666
       4424.4873      1.73149
       4424.5169      1.50157
       4424.5464      1.44122
       4424.5759      1.50451
       4424.6054      1.47906
       4424.6349      1.36459
       4424.6645      1.24677
       4424.6940      1.21670
       4424.7235      1.19761
       4424.7530      1.14961
       4424.7825      1.13050
       4424.8120      1.09849
       4424.8416      1.09586
       4424.8711      1.16095
       4424.9006      1.13955
       4424.9301      1.00511
       4424.9596     0.982646
       4424.9892      1.03508
       4425.0187      1.01050
       4425.0482     0.974439
       4425.0777     0.968358
       4425.1072     0.952036
       4425.1368     0.949721
       4425.1663     0.923205
       4425.1958     0.855892
       4425.2253     0.847289
       4425.2549     0.880835
       4425.2844     0.885875
       4425.3139     0.865895
       4425.3434     0.841984
       4425.3729     0.839268
       4425.4025     0.871480
       4425.4320     0.919203
       4425.4615     0.869678
       4425.4910     0.866484
       4425.5206     0.843511
       4425.5501     0.839212
       4425.5796     0.872635
       4425.6091     0.891419
       4425.6387     0.870748
       4425.6682     0.846024
       4425.6977     0.828074
       4425.7272     0.802505
       4425.7568     0.772695
       4425.7863     0.761229
       4425.8158     0.774962
       4425.8453     0.791928
       4425.8749     0.830712
       4425.9044     0.939573
       4425.9339      1.04904
       4425.9634      1.04196
       4425.9930      1.00117
       4426.0225      1.00447
       4426.0520      1.03041
       4426.0816     0.986953
       4426.1111      1.01383
       4426.1406     0.980574
       4426.1701     0.925597
       4426.1997     0.871344
       4426.2292     0.875471
       4426.2587     0.883572
       4426.2883     0.849609
       4426.3178     0.825608
       4426.3473     0.840997
       4426.3768     0.887374
       4426.4064     0.912546
       4426.4359     0.871499
       4426.4654     0.832374
       4426.4950     0.843732
       4426.5245     0.833706
       4426.5540     0.842899
       4426.5836     0.833050
       4426.6131     0.816867
       4426.6426     0.792067
       4426.6721     0.824742
       4426.7017     0.797947
       4426.7312     0.753038
       4426.7607     0.848857
       4426.7903     0.857695
       4426.8198     0.820983
       4426.8493     0.804345
       4426.8789     0.791906
       4426.9084     0.809746
       4426.9379     0.797301
       4426.9675     0.742760
       4426.9970     0.738404
       4427.0265     0.787810
       4427.0561     0.811293
       4427.0856     0.787210
       4427.1151     0.772231
       4427.1447     0.783736
       4427.1742     0.800851
       4427.2037     0.856465
       4427.2333     0.869829
       4427.2628     0.784892
       4427.2924     0.740216
       4427.3219     0.739958
